,bill_length,bill_depth,flipper_length,body_mass,species
0,39.1,?,181.0,3750.0,Adelie
1,39.5,17.4,186.0,?,Adelie
2,40.3,?,195.0,?,Adelie
3,36.7,19.3,193.0,3450.0,Adelie
4,?,?,?,3650.0,Adelie
5,38.9,?,181.0,3625.0,Adelie
6,39.2,?,?,?,Adelie
7,?,17.6,182.0,3200.0,Adelie
8,?,?,191.0,3800.0,Adelie
9,34.6,21.1,198.0,4400.0,Adelie
10,?,17.8,185.0,3700.0,Adelie
11,38.7,19.0,?,3450.0,Adelie
12,?,20.7,197.0,4500.0,Adelie
13,34.4,18.4,184.0,?,Adelie
14,?,21.5,194.0,?,Adelie
15,37.8,18.3,174.0,?,Adelie
16,?,18.7,180.0,?,Adelie
17,35.9,19.2,?,3800.0,Adelie
18,38.2,18.1,?,3950.0,Adelie
19,38.8,17.2,180.0,?,Adelie
20,35.3,18.9,187.0,3800.0,Adelie
21,40.6,?,183.0,?,Adelie
22,?,?,?,?,Adelie
23,?,18.6,?,?,Adelie
24,40.5,18.9,180.0,?,Adelie
25,?,?,178.0,3250.0,Adelie
26,37.2,?,?,?,Adelie
27,39.5,?,188.0,?,Adelie
28,40.9,18.9,?,?,Adelie
29,36.4,17.0,195.0,3325.0,Adelie
30,39.2,21.1,?,4150.0,Adelie
31,?,?,190.0,3950.0,Adelie
32,?,?,?,3550.0,Adelie
33,?,?,?,3300.0,Adelie
34,39.8,?,184.0,?,Adelie
35,?,18.0,182.0,3150.0,Adelie
36,?,?,?,?,Adelie
37,36.0,?,?,3100.0,Adelie
38,?,19.7,196.0,4400.0,Adelie
39,?,16.9,?,3000.0,Adelie
40,39.6,18.8,190.0,4600.0,Adelie
41,41.1,?,182.0,3425.0,Adelie
42,36.0,17.9,?,?,Adelie
43,?,21.2,191.0,4150.0,Adelie
44,39.6,17.7,186.0,?,Adelie
45,40.1,?,?,4300.0,Adelie
46,35.0,?,190.0,?,Adelie
47,?,?,?,?,Adelie
48,?,?,187.0,2900.0,Adelie
49,?,?,191.0,3700.0,Adelie
50,?,17.5,186.0,3550.0,Adelie
51,?,?,?,?,Adelie
52,?,16.6,181.0,?,Adelie
53,?,19.1,194.0,3750.0,Adelie
54,?,?,?,?,Adelie
55,?,21.1,195.0,?,Adelie
56,?,17.0,185.0,?,Adelie
57,?,18.2,?,?,Adelie
58,?,17.1,184.0,?,Adelie
59,?,18.0,?,?,Adelie
60,?,?,195.0,?,Adelie
61,?,?,?,4100.0,Adelie
62,?,16.6,?,3050.0,Adelie
63,?,?,?,?,Adelie
64,33.5,19.0,190.0,3600.0,Adelie
65,?,18.4,?,3900.0,Adelie
66,?,?,?,3550.0,Adelie
67,45.8,18.9,197.0,4150.0,Adelie
68,?,17.5,190.0,3700.0,Adelie
69,42.8,18.5,?,4250.0,Adelie
70,40.9,16.8,?,?,Adelie
71,?,?,?,3900.0,Adelie
72,36.2,16.1,?,?,Adelie
73,?,19.1,195.0,4000.0,Adelie
74,34.6,17.2,189.0,3200.0,Adelie
75,42.9,17.6,?,4700.0,Adelie
76,36.7,?,187.0,?,Adelie
77,35.1,19.4,?,?,Adelie
78,?,17.8,191.0,3350.0,Adelie
79,?,?,194.0,3550.0,Adelie
80,?,19.5,?,3800.0,Adelie
81,?,18.6,189.0,?,Adelie
82,?,?,189.0,?,Adelie
83,?,18.8,190.0,3600.0,Adelie
84,?,18.0,202.0,?,Adelie
85,?,18.1,?,4300.0,Adelie
86,?,?,?,3400.0,Adelie
87,39.6,?,186.0,4450.0,Adelie
88,36.2,?,187.0,3300.0,Adelie
89,?,?,208.0,4300.0,Adelie
90,?,18.6,?,3700.0,Adelie
91,40.3,?,?,?,Adelie
92,33.1,16.1,?,?,Adelie
93,43.2,18.5,192.0,?,Adelie
94,?,?,192.0,?,Adelie
95,?,20.0,203.0,?,Adelie
96,?,?,183.0,?,Adelie
97,?,20.0,190.0,4250.0,Adelie
98,37.9,?,?,2925.0,Adelie
99,39.7,18.9,184.0,?,Adelie
100,38.6,?,199.0,3750.0,Adelie
101,38.2,?,?,3900.0,Adelie
102,?,17.0,181.0,3175.0,Adelie
103,43.2,?,?,?,Adelie
104,?,16.5,198.0,3825.0,Adelie
105,45.6,20.3,?,?,Adelie
106,39.7,?,193.0,3200.0,Adelie
107,42.2,?,?,4275.0,Adelie
108,?,20.7,?,3900.0,Adelie
109,42.7,?,196.0,?,Adelie
110,38.6,17.0,188.0,?,Adelie
111,37.3,20.5,199.0,3775.0,Adelie
112,?,17.0,?,3350.0,Adelie
113,?,18.6,189.0,?,Adelie
114,36.2,17.2,?,3150.0,Adelie
115,?,19.8,198.0,?,Adelie
116,?,17.0,?,?,Adelie
117,?,?,?,?,Adelie
118,35.2,?,186.0,?,Adelie
119,?,19.0,199.0,4000.0,Adelie
120,?,?,191.0,3275.0,Adelie
121,?,18.3,?,?,Adelie
122,39.0,17.1,191.0,3050.0,Adelie
123,?,?,210.0,4000.0,Adelie
124,38.5,17.9,?,3325.0,Adelie
125,43.1,?,?,?,Adelie
126,?,18.5,?,3500.0,Adelie
127,37.5,18.5,?,4475.0,Adelie
128,?,17.6,187.0,3425.0,Adelie
129,?,?,190.0,?,Adelie
130,35.6,?,191.0,3175.0,Adelie
131,?,20.1,200.0,3975.0,Adelie
132,37.0,?,?,3400.0,Adelie
133,?,?,193.0,4250.0,Adelie
134,40.2,17.1,?,?,Adelie
135,40.6,?,?,3475.0,Adelie
136,?,15.5,?,3050.0,Adelie
137,?,?,?,3725.0,Adelie
138,?,?,192.0,?,Adelie
139,39.0,?,?,3650.0,Adelie
140,39.2,18.6,190.0,4250.0,Adelie
141,?,18.4,184.0,3475.0,Adelie
142,36.0,?,195.0,?,Adelie
143,?,18.1,?,3750.0,Adelie
144,36.0,17.1,?,3700.0,Adelie
145,?,18.5,201.0,4000.0,Adelie
146,?,13.2,211.0,4500.0,Gentoo
147,50.0,16.3,?,5700.0,Gentoo
148,48.7,14.1,?,?,Gentoo
149,50.0,15.2,218.0,5700.0,Gentoo
150,47.6,14.5,215.0,5400.0,Gentoo
151,46.5,?,210.0,4550.0,Gentoo
152,?,14.6,211.0,4800.0,Gentoo
153,?,?,219.0,5200.0,Gentoo
154,?,13.4,?,4400.0,Gentoo
155,46.8,?,215.0,5150.0,Gentoo
156,?,13.7,214.0,4650.0,Gentoo
157,?,16.1,?,5550.0,Gentoo
158,?,13.7,?,?,Gentoo
159,?,?,213.0,?,Gentoo
160,?,14.6,210.0,4200.0,Gentoo
161,?,15.7,?,5850.0,Gentoo
162,?,?,?,4150.0,Gentoo
163,49.2,15.2,221.0,?,Gentoo
164,46.2,14.5,?,?,Gentoo
165,48.7,15.1,?,5350.0,Gentoo
166,50.2,?,?,5700.0,Gentoo
167,45.1,14.5,215.0,?,Gentoo
168,?,14.5,?,?,Gentoo
169,46.3,15.8,?,5050.0,Gentoo
170,42.9,?,?,?,Gentoo
171,46.1,15.1,215.0,?,Gentoo
172,?,?,215.0,5650.0,Gentoo
173,48.2,?,210.0,4600.0,Gentoo
174,?,15.3,220.0,5550.0,Gentoo
175,47.3,15.3,222.0,5250.0,Gentoo
176,42.8,?,?,4700.0,Gentoo
177,45.1,14.5,207.0,?,Gentoo
178,59.6,17.0,?,?,Gentoo
179,49.1,?,220.0,?,Gentoo
180,48.4,16.3,?,5400.0,Gentoo
181,42.6,13.7,?,4950.0,Gentoo
182,44.4,?,219.0,5250.0,Gentoo
183,44.0,?,208.0,4350.0,Gentoo
184,48.7,?,?,5350.0,Gentoo
185,42.7,?,208.0,3950.0,Gentoo
186,49.6,?,?,5700.0,Gentoo
187,45.3,?,?,4300.0,Gentoo
188,49.6,?,216.0,?,Gentoo
189,50.5,15.9,?,?,Gentoo
190,43.6,13.9,?,4900.0,Gentoo
191,45.5,?,210.0,4200.0,Gentoo
192,50.5,15.9,225.0,5400.0,Gentoo
193,44.9,13.3,?,?,Gentoo
194,?,15.8,215.0,5300.0,Gentoo
195,46.6,?,210.0,4850.0,Gentoo
196,48.5,14.1,220.0,?,Gentoo
197,?,14.4,?,4400.0,Gentoo
198,?,?,?,5000.0,Gentoo
199,46.5,14.4,?,?,Gentoo
200,45.0,15.4,?,5050.0,Gentoo
201,43.8,?,208.0,4300.0,Gentoo
202,?,?,220.0,?,Gentoo
203,?,?,208.0,4450.0,Gentoo
204,?,?,224.0,?,Gentoo
205,45.3,13.8,208.0,?,Gentoo
206,46.2,?,221.0,5300.0,Gentoo
207,45.7,13.9,?,4400.0,Gentoo
208,54.3,?,231.0,?,Gentoo
209,?,14.2,219.0,?,Gentoo
210,49.8,?,230.0,5700.0,Gentoo
211,49.5,?,229.0,?,Gentoo
212,43.5,14.2,220.0,4700.0,Gentoo
213,50.7,15.0,?,5550.0,Gentoo
214,47.7,15.0,216.0,?,Gentoo
215,46.4,15.6,221.0,5000.0,Gentoo
216,?,15.6,221.0,?,Gentoo
217,46.5,?,217.0,?,Gentoo
218,46.4,?,216.0,?,Gentoo
219,?,?,230.0,?,Gentoo
220,47.5,14.2,209.0,?,Gentoo
221,?,?,220.0,6000.0,Gentoo
222,45.2,13.8,?,?,Gentoo
223,45.2,16.4,223.0,5950.0,Gentoo
224,49.1,14.5,212.0,?,Gentoo
225,52.5,?,221.0,5450.0,Gentoo
226,?,14.6,212.0,?,Gentoo
227,?,15.9,224.0,?,Gentoo
228,44.9,13.8,212.0,4750.0,Gentoo
229,?,17.3,?,5600.0,Gentoo
230,?,14.4,218.0,?,Gentoo
231,51.3,14.2,?,5300.0,Gentoo
232,47.5,14.0,212.0,?,Gentoo
233,52.1,?,230.0,?,Gentoo
234,47.5,?,218.0,4950.0,Gentoo
235,52.2,?,?,?,Gentoo
236,?,14.5,212.0,4750.0,Gentoo
237,?,?,224.0,?,Gentoo
238,?,14.7,214.0,4850.0,Gentoo
239,50.8,15.7,?,5200.0,Gentoo
240,49.4,15.8,216.0,4925.0,Gentoo
241,46.9,?,222.0,4875.0,Gentoo
242,48.4,14.4,203.0,?,Gentoo
243,?,16.5,225.0,5250.0,Gentoo
244,?,?,219.0,?,Gentoo
245,?,17.0,228.0,?,Gentoo
246,47.2,?,215.0,?,Gentoo
247,49.1,15.0,228.0,5500.0,Gentoo
248,?,16.1,215.0,?,Gentoo
249,41.7,?,210.0,?,Gentoo
250,53.4,15.8,219.0,5500.0,Gentoo
251,43.3,?,208.0,4575.0,Gentoo
252,?,15.1,209.0,5500.0,Gentoo
253,?,?,216.0,5000.0,Gentoo
254,?,15.9,229.0,?,Gentoo
255,43.5,?,213.0,4650.0,Gentoo
256,51.5,16.3,230.0,5500.0,Gentoo
257,?,14.1,217.0,4375.0,Gentoo
258,?,?,?,5850.0,Gentoo
259,48.8,16.2,222.0,6000.0,Gentoo
260,47.2,?,214.0,?,Gentoo
261,46.8,14.3,?,?,Gentoo
262,?,15.7,222.0,5750.0,Gentoo
263,45.2,?,212.0,5200.0,Gentoo
264,49.9,16.1,213.0,5400.0,Gentoo
265,?,?,192.0,3500.0,Chinstrap
266,50.0,19.5,?,?,Chinstrap
267,51.3,19.2,193.0,3650.0,Chinstrap
268,45.4,18.7,188.0,?,Chinstrap
269,52.7,19.8,?,3725.0,Chinstrap
270,45.2,17.8,198.0,3950.0,Chinstrap
271,?,18.2,?,3250.0,Chinstrap
272,?,18.2,?,?,Chinstrap
273,?,18.9,?,4150.0,Chinstrap
274,51.3,?,198.0,3700.0,Chinstrap
275,46.6,17.8,193.0,?,Chinstrap
276,51.7,?,194.0,3775.0,Chinstrap
277,?,?,185.0,3700.0,Chinstrap
278,52.0,18.1,201.0,?,Chinstrap
279,?,?,190.0,3575.0,Chinstrap
280,50.5,19.6,201.0,?,Chinstrap
281,50.3,20.0,?,3300.0,Chinstrap
282,58.0,17.8,?,3700.0,Chinstrap
283,46.4,?,190.0,3450.0,Chinstrap
284,49.2,18.2,195.0,4400.0,Chinstrap
285,42.4,17.3,?,3600.0,Chinstrap
286,?,17.5,191.0,?,Chinstrap
287,43.2,?,?,2900.0,Chinstrap
288,?,19.4,?,?,Chinstrap
289,?,17.9,195.0,3300.0,Chinstrap
290,?,19.0,197.0,4150.0,Chinstrap
291,?,?,?,?,Chinstrap
292,?,19.0,200.0,?,Chinstrap
293,?,17.8,?,?,Chinstrap
294,?,20.0,205.0,?,Chinstrap
295,40.9,16.6,187.0,3200.0,Chinstrap
296,?,20.8,?,4300.0,Chinstrap
297,42.5,16.7,187.0,3350.0,Chinstrap
298,?,18.8,203.0,4100.0,Chinstrap
299,?,18.6,195.0,?,Chinstrap
300,?,?,199.0,?,Chinstrap
301,47.6,18.3,?,3850.0,Chinstrap
302,?,20.7,210.0,?,Chinstrap
303,46.9,?,192.0,2700.0,Chinstrap
304,53.5,?,205.0,?,Chinstrap
305,?,19.5,?,?,Chinstrap
306,?,17.5,187.0,3650.0,Chinstrap
307,50.9,19.1,?,3550.0,Chinstrap
308,45.5,?,196.0,3500.0,Chinstrap
309,50.9,17.9,196.0,?,Chinstrap
310,50.8,?,201.0,?,Chinstrap
311,50.1,17.9,190.0,3400.0,Chinstrap
312,49.0,?,?,4300.0,Chinstrap
313,51.5,?,?,3250.0,Chinstrap
314,49.8,?,?,3675.0,Chinstrap
315,48.1,?,199.0,?,Chinstrap
316,51.4,?,201.0,?,Chinstrap
317,?,17.3,193.0,3600.0,Chinstrap
318,?,?,203.0,4050.0,Chinstrap
319,42.5,?,187.0,3350.0,Chinstrap
320,52.2,?,197.0,3450.0,Chinstrap
321,45.2,?,191.0,3250.0,Chinstrap
322,49.3,?,203.0,4050.0,Chinstrap
323,50.2,18.8,202.0,?,Chinstrap
324,45.6,19.4,194.0,3525.0,Chinstrap
325,51.9,19.5,206.0,3950.0,Chinstrap
326,?,?,189.0,3650.0,Chinstrap
327,45.7,17.0,?,3650.0,Chinstrap
328,55.8,19.8,207.0,4000.0,Chinstrap
329,?,18.1,?,3400.0,Chinstrap
330,49.6,18.2,193.0,?,Chinstrap
331,?,19.0,?,?,Chinstrap
332,50.2,?,?,?,Chinstrap
